,date,AFG,BGR,LTR,PFG,SHR,TRE,date
0,1986,12,18,11,24,17,5,1986
1,1987,6,25,13,13,19,10,1987
2,1988,2,22,9,26,13,9,1988
3,1989,3,21,14,30,12,6,1989
4,1990,3,24,11,29,13,5,1990
5,1991,3,25,13,27,13,5,1991
6,1992,5,16,10,31,21,4,1992
7,1993,8,15,11,27,25,5,1993
8,1994,1,18,13,27,22,6,1994
9,1995,6,14,10,29,23,5,1995
10,1996,9,11,12,29,22,9,1996
11,1997,4,21,16,27,17,6,1997
12,1998,9,17,10,28,18,6,1998
13,1999,10,13,9,33,16,6,1999
14,2000,8,15,13,31,14,5,2000
15,2001,7,13,13,27,21,10,2001
16,2002,4,18,16,21,22,6,2002
17,2003,2,20,14,26,16,4,2003
18,2004,4,22,12,19,20,5,2004
19,2005,7,19,11,25,17,6,2005
20,2006,13,14,11,26,16,6,2006
21,2007,9,15,12,28,15,9,2007
22,2008,12,13,12,30,15,7,2008
23,2009,5,15,13,32,16,5,2009
24,2010,14,9,10,37,15,5,2010
25,2011,10,12,15,34,14,6,2011
26,2012,5,17,17,33,12,4,2012
27,2013,11,18,14,31,12,4,2013
28,2014,9,15,16,25,16,7,2014
29,2015,6,14,15,21,22,7,2015
30,2016,5,13,15,19,25,7,2016
31,2017,6,11,12,28,21,7,2017
32,2018,8,11,13,27,19,8,2018
33,2019,7,13,16,19,22,8,2019
34,2020,5,14,14,13,34,8,2020
35,2021,7,11,14,21,26,7,2021
36,2022,10,8,12,25,20,9,2022
37,2023,7,13,18,20,20,10,2023
38,2024,5,19,16,14,26,8,2024
